province,organism,antibiotic,specimen,sector,year,n_tested,percent_resistant
Free State,Klebsiella pneumoniae,Ciprofloxacin,Urine,Public,2023,101,32.3
Free State,Klebsiella pneumoniae,Ciprofloxacin,Urine,Public,2024,443,33.9
Free State,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2022,239,32.6
Free State,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2023,95,32.7
Free State,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2024,393,35.4
Free State,Klebsiella pneumoniae,Meropenem,Blood,Public,2022,226,18.0
Free State,Klebsiella pneumoniae,Meropenem,Blood,Public,2023,168,18.1
Free State,Klebsiella pneumoniae,Meropenem,Blood,Public,2024,192,19.6
Free State,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2022,303,19.2
Free State,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2023,311,21.5
Free State,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2024,68,21.9
Free State,Klebsiella pneumoniae,Meropenem,Urine,Public,2022,365,18.5
Free State,Klebsiella pneumoniae,Meropenem,Urine,Public,2023,201,20.6
Free State,Klebsiella pneumoniae,Meropenem,Urine,Public,2024,324,21.2
Free State,Klebsiella pneumoniae,Meropenem,Wound,Public,2022,103,20.9
Free State,Klebsiella pneumoniae,Meropenem,Wound,Public,2023,268,19.7
Free State,Klebsiella pneumoniae,Meropenem,Wound,Public,2024,448,21.5
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2022,381,27.6
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2023,416,27.2
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2024,410,29.8
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Respiratory,Public,2022,310,30.1
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Respiratory,Public,2023,245,28.8
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Respiratory,Public,2024,295,31.4
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2022,121,28.3
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2023,349,29.9
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2024,237,30.9
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Wound,Public,2023,319,29.1
Free State,Klebsiella pneumoniae,Piperacillin-tazobactam,Wound,Public,2024,66,31.0
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Blood,Public,2022,376,28.3
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Blood,Public,2024,286,29.7
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Respiratory,Public,2022,101,29.3
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Respiratory,Public,2023,148,30.0
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Respiratory,Public,2024,140,32.2
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Urine,Public,2022,361,28.4
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Urine,Public,2023,216,31.5
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Urine,Public,2024,90,31.2
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2022,438,29.8
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2023,450,29.3
Free State,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2024,168,30.6
Free State,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2022,170,23.1
Free State,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2023,201,25.7
Free State,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2024,449,26.7
Free State,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2022,417,26.2
Free State,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2023,386,28.4
Free State,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2024,311,29.1
Free State,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2022,204,25.1
Free State,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2023,159,27.5
Free State,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2024,244,26.4
Free State,Pseudomonas aeruginosa,Ceftriaxone,Wound,Public,2024,87,26.8
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Blood,Public,2022,173,27.8
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Blood,Public,2023,184,29.7
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Blood,Public,2024,357,30.4
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Respiratory,Public,2022,221,31.7
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Respiratory,Public,2023,334,30.9
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Respiratory,Public,2024,413,34.4
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2022,343,29.6
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2023,277,31.1
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2024,341,33.5
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2022,419,30.0
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2023,216,31.4
Free State,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2024,121,31.8
Free State,Pseudomonas aeruginosa,Meropenem,Blood,Public,2022,290,14.5
Free State,Pseudomonas aeruginosa,Meropenem,Blood,Public,2023,300,17.6
Free State,Pseudomonas aeruginosa,Meropenem,Blood,Public,2024,178,17.4
Free State,Pseudomonas aeruginosa,Meropenem,Respiratory,Public,2022,136,17.2
Free State,Pseudomonas aeruginosa,Meropenem,Respiratory,Public,2024,144,18.7
Free State,Pseudomonas aeruginosa,Meropenem,Urine,Public,2022,204,16.4
Free State,Pseudomonas aeruginosa,Meropenem,Urine,Public,2023,292,18.6
Free State,Pseudomonas aeruginosa,Meropenem,Urine,Public,2024,179,17.7
Free State,Pseudomonas aeruginosa,Meropenem,Wound,Public,2022,380,18.8
Free State,Pseudomonas aeruginosa,Meropenem,Wound,Public,2023,161,18.8
Free State,Pseudomonas aeruginosa,Meropenem,Wound,Public,2024,338,19.3
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2022,66,23.8
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2023,300,26.2
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2024,234,27.0
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2022,215,28.0
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2023,187,26.8
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2024,273,27.9
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Urine,Public,2022,86,25.1
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Urine,Public,2023,304,26.3
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Urine,Public,2024,93,26.9
Free State,Pseudomonas aeruginosa,Piperacillin-tazobactam,Wound,Public,2022,97,26.2
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2022,196,16.7
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2023,207,19.2
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2024,417,19.8
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Respiratory,Public,2022,120,19.9
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Respiratory,Public,2024,426,22.0
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Urine,Public,2023,371,21.4
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Urine,Public,2024,423,21.9
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Wound,Public,2022,342,18.5
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Wound,Public,2023,268,19.1
Free State,Staphylococcus aureus,Amoxicillin-clavulanate,Wound,Public,2024,118,20.3
Free State,Staphylococcus aureus,Ceftriaxone,Blood,Public,2022,70,14.3
Free State,Staphylococcus aureus,Ceftriaxone,Blood,Public,2023,404,16.5
Free State,Staphylococcus aureus,Ceftriaxone,Blood,Public,2024,355,17.0
Free State,Staphylococcus aureus,Ceftriaxone,Respiratory,Public,2023,113,16.5
Free State,Staphylococcus aureus,Ceftriaxone,Respiratory,Public,2024,228,19.1
Free State,Staphylococcus aureus,Ceftriaxone,Urine,Public,2022,447,13.6
Free State,Staphylococcus aureus,Ceftriaxone,Urine,Public,2023,325,15.0
Free State,Staphylococcus aureus,Ceftriaxone,Urine,Public,2024,202,17.5
Free State,Staphylococcus aureus,Ceftriaxone,Wound,Public,2022,359,14.6
Free State,Staphylococcus aureus,Ceftriaxone,Wound,Public,2023,311,16.3
Free State,Staphylococcus aureus,Ceftriaxone,Wound,Public,2024,300,18.9
Free State,Staphylococcus aureus,Ciprofloxacin,Blood,Public,2022,364,19.9
Free State,Staphylococcus aureus,Ciprofloxacin,Blood,Public,2023,351,20.8
Free State,Staphylococcus aureus,Ciprofloxacin,Blood,Public,2024,284,22.3
Free State,Staphylococcus aureus,Ciprofloxacin,Respiratory,Public,2022,188,20.5
Free State,Staphylococcus aureus,Ciprofloxacin,Respiratory,Public,2023,177,20.6
Free State,Staphylococcus aureus,Ciprofloxacin,Respiratory,Public,2024,354,24.4
Free State,Staphylococcus aureus,Ciprofloxacin,Urine,Public,2022,412,18.9
Free State,Staphylococcus aureus,Ciprofloxacin,Urine,Public,2023,266,20.4
Free State,Staphylococcus aureus,Ciprofloxacin,Urine,Public,2024,316,23.3
Free State,Staphylococcus aureus,Ciprofloxacin,Wound,Public,2022,284,20.6
Free State,Staphylococcus aureus,Ciprofloxacin,Wound,Public,2023,80,20.3
Free State,Staphylococcus aureus,Ciprofloxacin,Wound,Public,2024,436,23.7
Free State,Staphylococcus aureus,Meropenem,Blood,Public,2022,421,5.4
Free State,Staphylococcus aureus,Meropenem,Blood,Public,2023,307,6.3
Free State,Staphylococcus aureus,Meropenem,Blood,Public,2024,184,9.5
Free State,Staphylococcus aureus,Meropenem,Respiratory,Public,2022,61,7.3
Free State,Staphylococcus aureus,Meropenem,Respiratory,Public,2023,212,8.4
Free State,Staphylococcus aureus,Meropenem,Respiratory,Public,2024,356,11.0
Free State,Staphylococcus aureus,Meropenem,Urine,Public,2022,134,6.9
Free State,Staphylococcus aureus,Meropenem,Urine,Public,2023,366,7.7
Free State,Staphylococcus aureus,Meropenem,Urine,Public,2024,129,9.0
Free State,Staphylococcus aureus,Meropenem,Wound,Public,2023,272,9.3
Free State,Staphylococcus aureus,Meropenem,Wound,Public,2024,319,9.0
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Blood,Public,2022,313,14.8
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Blood,Public,2023,265,15.4
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Blood,Public,2024,341,18.0
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Respiratory,Public,2022,245,16.1
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Respiratory,Public,2023,315,18.4
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Urine,Public,2022,105,14.6
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Urine,Public,2023,225,16.5
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Urine,Public,2024,266,16.9
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Wound,Public,2022,60,17.6
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Wound,Public,2023,337,18.0
Free State,Staphylococcus aureus,Piperacillin-tazobactam,Wound,Public,2024,87,18.4
Gauteng,E. coli,Amoxicillin-clavulanate,Blood,Public,2022,251,26.4
Gauteng,E. coli,Amoxicillin-clavulanate,Blood,Public,2023,185,27.8
Gauteng,E. coli,Amoxicillin-clavulanate,Blood,Public,2024,349,29.1
Gauteng,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2022,295,29.4
Gauteng,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2023,64,29.3
Gauteng,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2024,298,32.2
Gauteng,E. coli,Amoxicillin-clavulanate,Urine,Public,2022,152,28.5
Gauteng,E. coli,Amoxicillin-clavulanate,Urine,Public,2023,100,28.0
Gauteng,E. coli,Amoxicillin-clavulanate,Urine,Public,2024,255,30.3
Gauteng,E. coli,Amoxicillin-clavulanate,Wound,Public,2022,183,28.9
Gauteng,E. coli,Amoxicillin-clavulanate,Wound,Public,2023,358,29.5
Gauteng,E. coli,Amoxicillin-clavulanate,Wound,Public,2024,296,29.4
Gauteng,E. coli,Ceftriaxone,Blood,Public,2023,111,23.5
Gauteng,E. coli,Ceftriaxone,Blood,Public,2024,285,26.1
Gauteng,E. coli,Ceftriaxone,Respiratory,Public,2022,101,24.7
Gauteng,E. coli,Ceftriaxone,Respiratory,Public,2024,254,28.1
Gauteng,E. coli,Ceftriaxone,Urine,Public,2022,293,22.8
Gauteng,E. coli,Ceftriaxone,Urine,Public,2023,133,23.5
Gauteng,E. coli,Ceftriaxone,Urine,Public,2024,395,25.7
Gauteng,E. coli,Ceftriaxone,Wound,Public,2022,98,25.9
Gauteng,E. coli,Ceftriaxone,Wound,Public,2023,195,25.4
Gauteng,E. coli,Ceftriaxone,Wound,Public,2024,414,26.0
Gauteng,E. coli,Ciprofloxacin,Blood,Public,2022,335,25.6
Gauteng,E. coli,Ciprofloxacin,Blood,Public,2023,450,28.8
Gauteng,E. coli,Ciprofloxacin,Blood,Public,2024,224,32.0
Gauteng,E. coli,Ciprofloxacin,Respiratory,Public,2022,393,30.9
Gauteng,E. coli,Ciprofloxacin,Respiratory,Public,2023,313,32.4
Gauteng,E. coli,Ciprofloxacin,Respiratory,Public,2024,124,33.4
Gauteng,E. coli,Ciprofloxacin,Urine,Public,2022,417,30.1
Gauteng,E. coli,Ciprofloxacin,Urine,Public,2023,256,29.2
Gauteng,E. coli,Ciprofloxacin,Urine,Public,2024,270,30.2
Gauteng,E. coli,Ciprofloxacin,Wound,Public,2022,441,28.1
Gauteng,E. coli,Ciprofloxacin,Wound,Public,2023,255,30.4
Gauteng,E. coli,Ciprofloxacin,Wound,Public,2024,399,31.2
Gauteng,E. coli,Meropenem,Blood,Public,2022,406,16.2
Gauteng,E. coli,Meropenem,Blood,Public,2023,97,16.1
Gauteng,E. coli,Meropenem,Blood,Public,2024,236,16.8
Gauteng,E. coli,Meropenem,Respiratory,Public,2022,354,17.2
Gauteng,E. coli,Meropenem,Respiratory,Public,2023,418,17.4
Gauteng,E. coli,Meropenem,Respiratory,Public,2024,397,18.4
Gauteng,E. coli,Meropenem,Urine,Public,2022,213,17.5
Gauteng,E. coli,Meropenem,Urine,Public,2023,277,17.4
Gauteng,E. coli,Meropenem,Urine,Public,2024,293,18.6
Gauteng,E. coli,Meropenem,Wound,Public,2022,161,17.5
Gauteng,E. coli,Meropenem,Wound,Public,2023,307,19.0
Gauteng,E. coli,Meropenem,Wound,Public,2024,255,17.3
Gauteng,E. coli,Piperacillin-tazobactam,Blood,Public,2022,380,25.4
Gauteng,E. coli,Piperacillin-tazobactam,Blood,Public,2023,448,25.6
Gauteng,E. coli,Piperacillin-tazobactam,Blood,Public,2024,337,26.0
Gauteng,E. coli,Piperacillin-tazobactam,Respiratory,Public,2022,415,25.8
Gauteng,E. coli,Piperacillin-tazobactam,Respiratory,Public,2023,74,26.4
Gauteng,E. coli,Piperacillin-tazobactam,Respiratory,Public,2024,88,26.6
Gauteng,E. coli,Piperacillin-tazobactam,Urine,Public,2022,95,23.6
Gauteng,E. coli,Piperacillin-tazobactam,Urine,Public,2023,410,25.2
Gauteng,E. coli,Piperacillin-tazobactam,Urine,Public,2024,176,28.3
Gauteng,E. coli,Piperacillin-tazobactam,Wound,Public,2022,282,26.2
Gauteng,E. coli,Piperacillin-tazobactam,Wound,Public,2023,449,27.9
Gauteng,E. coli,Piperacillin-tazobactam,Wound,Public,2024,111,27.9
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Blood,Public,2022,179,33.8
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Blood,Public,2023,377,35.9
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Blood,Public,2024,347,38.1
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2022,312,36.4
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2023,180,36.8
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2024,129,40.2
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2022,372,35.5
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2023,92,36.2
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2024,297,38.4
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2022,214,37.7
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2023,119,37.9
Gauteng,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2024,79,37.4
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2022,218,31.4
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2023,77,32.9
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2024,434,33.2
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Respiratory,Public,2022,306,34.2
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Urine,Public,2022,211,30.9
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Urine,Public,2023,272,32.5
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Urine,Public,2024,127,33.0
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2022,247,33.4
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2023,199,33.6
Gauteng,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2024,191,35.5
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Blood,Public,2023,411,37.2
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Blood,Public,2024,85,38.8
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2022,397,38.8
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2023,130,39.5
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2024,381,40.4
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Urine,Public,2022,441,38.2
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Urine,Public,2023,206,38.0
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Urine,Public,2024,177,39.8
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2022,240,37.8
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2023,157,37.7
Gauteng,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2024,407,39.9
Gauteng,Klebsiella pneumoniae,Meropenem,Blood,Public,2022,249,22.7
Gauteng,Klebsiella pneumoniae,Meropenem,Blood,Public,2023,440,24.5
Gauteng,Klebsiella pneumoniae,Meropenem,Blood,Public,2024,336,25.6
Gauteng,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2022,245,26.3
Gauteng,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2023,411,24.8
Gauteng,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2024,390,26.6
Gauteng,Klebsiella pneumoniae,Meropenem,Urine,Public,2022,440,23.8
Gauteng,Klebsiella pneumoniae,Meropenem,Urine,Public,2023,272,25.7
Gauteng,Klebsiella pneumoniae,Meropenem,Urine,Public,2024,310,26.5
Gauteng,Klebsiella pneumoniae,Meropenem,Wound,Public,2022,203,24.8
Gauteng,Klebsiella pneumoniae,Meropenem,Wound,Public,2023,249,24.1
Gauteng,Klebsiella pneumoniae,Meropenem,Wound,Public,2024,287,25.6
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2022,299,32.9
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2023,132,34.4
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2024,175,34.8
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Respiratory,Public,2022,404,34.5
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Respiratory,Public,2023,255,34.3
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Respiratory,Public,2024,250,37.0
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2022,430,34.1
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2023,263,34.5
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2024,345,36.4
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Wound,Public,2022,262,33.1
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Wound,Public,2023,334,33.0
Gauteng,Klebsiella pneumoniae,Piperacillin-tazobactam,Wound,Public,2024,248,34.4
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Blood,Public,2022,200,31.7
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Blood,Public,2023,359,34.4
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Blood,Public,2024,226,35.1
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Respiratory,Public,2022,170,35.7
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Respiratory,Public,2024,292,36.7
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Urine,Public,2022,365,33.6
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Urine,Public,2023,292,35.1
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Urine,Public,2024,280,36.0
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2022,419,33.3
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2023,395,34.3
Gauteng,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2024,342,36.9
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2022,365,29.9
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2023,134,28.5
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2024,336,32.5
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2022,275,29.9
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2023,441,32.1
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2024,289,31.7
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2022,149,29.2
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2023,73,29.8
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2024,243,30.9
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Wound,Public,2022,181,31.4
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Wound,Public,2023,68,31.8
Gauteng,Pseudomonas aeruginosa,Ceftriaxone,Wound,Public,2024,86,31.5
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Blood,Public,2023,122,34.3
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Blood,Public,2024,292,37.3
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Respiratory,Public,2022,170,35.1
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Respiratory,Public,2023,179,37.9
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Respiratory,Public,2024,135,37.5
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2022,168,33.8
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2023,365,36.4
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2024,85,38.4
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2022,184,36.4
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2023,349,38.0
Gauteng,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2024,343,36.6
Gauteng,Pseudomonas aeruginosa,Meropenem,Blood,Public,2023,278,20.8
Gauteng,Pseudomonas aeruginosa,Meropenem,Blood,Public,2024,190,22.4
Gauteng,Pseudomonas aeruginosa,Meropenem,Respiratory,Public,2022,347,21.7
Gauteng,Pseudomonas aeruginosa,Meropenem,Respiratory,Public,2023,403,24.2
Gauteng,Pseudomonas aeruginosa,Meropenem,Respiratory,Public,2024,241,23.9
Gauteng,Pseudomonas aeruginosa,Meropenem,Urine,Public,2022,138,21.6
Gauteng,Pseudomonas aeruginosa,Meropenem,Urine,Public,2023,302,23.6
Gauteng,Pseudomonas aeruginosa,Meropenem,Urine,Public,2024,103,22.7
Gauteng,Pseudomonas aeruginosa,Meropenem,Wound,Public,2022,109,21.3
Gauteng,Pseudomonas aeruginosa,Meropenem,Wound,Public,2023,250,24.2
Gauteng,Pseudomonas aeruginosa,Meropenem,Wound,Public,2024,344,25.4
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2022,322,30.8
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2023,291,31.3
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2024,374,32.0
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2022,287,32.6
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2023,101,31.7
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2024,135,33.5
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Urine,Public,2023,294,32.1
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Urine,Public,2024,75,33.4
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Wound,Public,2022,305,30.2
Gauteng,Pseudomonas aeruginosa,Piperacillin-tazobactam,Wound,Public,2023,278,33.5
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2022,205,22.8
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2023,363,24.5
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2024,401,25.0
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Respiratory,Public,2022,442,23.5
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Respiratory,Public,2023,126,25.8
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Respiratory,Public,2024,420,26.6
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Urine,Public,2022,172,23.4
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Urine,Public,2023,366,24.7
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Urine,Public,2024,164,24.7
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Wound,Public,2023,190,26.3
Gauteng,Staphylococcus aureus,Amoxicillin-clavulanate,Wound,Public,2024,121,25.9
Gauteng,Staphylococcus aureus,Ceftriaxone,Blood,Public,2022,389,19.3
Gauteng,Staphylococcus aureus,Ceftriaxone,Blood,Public,2023,371,20.2
Gauteng,Staphylococcus aureus,Ceftriaxone,Blood,Public,2024,415,22.3
